Count of name,Column Labels,,
Row Labels,brain,calves,Grand Total
Dandasana (Staff Pose),1,1,2
Prasarita Padottanasana (Wide-Legged Forward Bend),1,1,2
Uttanasana (Standing Forward Bend),1,1,2
Adho Mukha Svanasana (Downward-Facing Dog),1,1,2
Agnistambhasana (Fire Log Pose),1,,1
Halasana (Plow Pose),1,,1
Padmasana (Lotus Pose),1,,1
Setu Bandha Sarvangasana (Bridge Pose),1,,1
Bitilasana (Cow Pose),1,,1
Marjaryasana (Cat Pose ),1,,1
Kapotasana (King Pigeon Pose),1,,1
Parsvottanasana (Intense Side Stretch Pose),1,,1
Pincha Mayurasana (Feathered Peacock Pose),1,,1
Adho Mukha Vrksasana (Handstand),1,,1
"High Lunge, Variation",,1,1
Parighasana (Gate Pose),,1,1
Uttana Shishosana (Extended Puppy Pose),1,,1
Ardha Chandrasana (Half Moon Pose),,1,1
Janu Sirsasana (Head-to-Knee Forward Bend),1,,1
Virabhadrasana I (Warrior I Pose),,1,1
Paschimottanasana (Seated Forward Bend),1,,1
Utkatasana (Chair Pose),,1,1
Virabhadrasana II (Warrior II Pose),,1,1
Malasana (Garland Pose),,1,1
Salamba Sirsasana (Supported Headstand),1,,1
Sukhasana (Easy Pose),1,,1
Salamba Sarvangasana (Supported Shoulderstand),1,,1
Utthita Trikonasana (Extended Triangle Pose),,1,1
Utthita Hasta Padangustasana (Extended Hand-To-Big-Toe Pose),,1,1
Padangusthasana (Big Toe Pose),,1,1
Purvottanasana (Upward Plank Pose),,1,1
High Lunge,,1,1
Garudasana (Eagle Pose),,1,1
Upavistha Konasana (Wide-Angle Seated Forward Bend),,1,1
Baddha Konasana (Bound Angle Pose),,1,1
Salabhasana (Locust Pose),,1,1
Virabhadrasana III (Warrior III Pose),,1,1
Urdhva Prasarita Eka Padasana (Standing Split),,1,1
Krounchasana (Heron Pose),,1,1
Supta Padangusthasana (Reclining Big Toe Pose),,1,1
Vrksasana (Tree Pose),,1,1
Grand Total,20,25,45
