COUNTY	STATE	# GUNS
COOK	IL	"15,781"
LAKE	IN	"2,715"
DU PAGE	IL	"1,879"
MARION	IN	"1,106"
WILL	IL	909
PORTER	IN	905
KANE	IL	761
ST JOSEPH	IN	589
LAKE	IL	456
COAHOMA	MS	447
MILWAUKEE	WI	394
SHELBY	TN	362
HINDS	MS	296
LEFLORE	MS	291
BOLIVAR	MS	272
JEFFERSON	AL	272
KANKAKEE	IL	257
HENNEPIN	MN	249
LA PORTE	IN	249
WASHINGTON	MS	236
WINNEBAGO	IL	226
ALLEN	IN	216
MARICOPA	AZ	213
JEFFERSON	KY	186
PULASKI	AR	175
LOS ANGELES	CA	172
MADISON	MS	165
HARRIS	TX	164
DALLAS	TX	156
FRANKLIN	OH	156
YAZOO	MS	155
ELKHART	IN	144
CHAMPAIGN	IL	135
KENOSHA	WI	124
CASS	IN	117
SANGAMON	IL	116
SUNFLOWER	MS	113
GRENADA	MS	111
CLAY	MS	110
DANE	WI	110
MADISON	AL	109
JEFFERSON	AR	107
PEORIA	IL	102
RACINE	WI	102
HENDRICKS	IN	101
TIPPAH	MS	98
DADE	FL	95
VIGO	IN	95
MCHENRY	IL	93
MONTGOMERY	AL	93
PHILLIPS	AR	92
LOWNDES	MS	91
BERRIEN	MI	89
WAUKESHA	WI	89
PANOLA	MS	88
VERMILION	IL	87
COBB	GA	83
LEE	MS	83
JONES	MS	82
ATTALA	MS	81
ROCK	WI	81
HOWARD	IN	80
LAUDERDALE	MS	80
CLAYTON	GA	79
JOHNSON	IN	77
DAVIDSON	TN	76
JACKSON	IL	76
HAMPDEN	MA	75
DE SOTO	MS	74
TIPPECANOE	IN	74
DEKALB	GA	73
HAMILTON	OH	72
LINN	IA	71
MACON	IL	71
MCCRACKEN	KY	70
WALWORTH	WI	70
DUVAL	FL	69
MARSHALL	MS	69
MCLEAN	IL	69
MONTGOMERY	OH	69
TALLAHATCHIE	MS	69
BROWN	WI	68
JASPER	IN	68
LINCOLN	MS	68
CADDO	LA	66
FAYETTE	KY	66
RANKIN	MS	66
EAST BATON ROUGE	LA	65
FULTON	GA	65
BEXAR	TX	64
CLARK	NV	64
KNOX	TN	64
JEFFERSON	LA	63
KALAMAZOO	MI	63
MISSISSIPPI	AR	63
ROCK ISLAND	IL	63
TARRANT	TX	63
HAMILTON	TN	62
WAYNE	MI	62
BELL	TX	61
WABASH	IN	61
ALCORN	MS	60
HOLMES	MS	60
BROWARD	FL	59
HILLSBOROUGH	FL	59
OKLAHOMA	OK	58
SAN DIEGO	CA	58
WILLIAMSON	IL	57
CRITTENDEN	AR	55
LA SALLE	IL	55
MONROE	MS	55
TUNICA	MS	55
VANDERBURGH	IN	55
HARRISON	MS	54
DELAWARE	IN	53
POLK	IA	53
SAN BERNARDINO	CA	53
WHITFIELD	GA	52
DE KALB	IN	51
SAINT LOUIS	MO	51
ADAMS	MS	50
CUMBERLAND	NC	49
HAMILTON	IN	49
PIMA	AZ	49
SAINT CLAIR	IL	49
KOSCIUSKO	IN	48
MOBILE	AL	48
MUSCOGEE	GA	48
TUSCALOOSA	AL	47
GWINNETT	GA	46
CHRISTIAN	KY	44
KENT	MI	44
MADISON	TN	44
TULSA	OK	44
WINSTON	MS	44
EL PASO	CO	43
ETOWAH	AL	43
GRANT	IN	43
HARDIN	KY	43
PALM BEACH	FL	43
MADISON	IN	42
ORANGE	FL	42
SAINT FRANCIS	AR	42
WARREN	MS	42
NORFOLK CITY	VA	41
RANDOLPH	IN	41
MORGAN	AL	40
OKTIBBEHA	MS	40
ONSLOW	NC	40
ORANGE	CA	40
ASHLAND	OH	39
BUTLER	OH	39
DE KALB	IL	39
MADISON	IL	39
MARSHALL	AL	39
MUHLENBERG	KY	39
OAKLAND	MI	39
CUYAHOGA	OH	38
DAVIESS	KY	38
FORREST	MS	38
INGHAM	MI	37
LA CROSSE	WI	37
SHELBY	IN	37
TAZEWELL	IL	37
KING	WA	36
KNOX	IL	36
LIBERTY	GA	36
MAHONING	OH	36
MONTGOMERY	MS	36
COPIAH	MS	35
CRAIGHEAD	AR	35
GENESEE	MI	35
HARRISON	IN	35
